OBJECTID_1,F1,road1,road2,ObjectID,x,y
106,105.000000000000000,福荣路,益田路,106,114.0508728,22.5145149
107,106.000000000000000,沙嘴路,福荣路,107,114.0290527,22.5209007
108,107.000000000000000,福荣路,滨河大道,108,114.0163727,22.5310574
109,108.000000000000000,福田四号路,益田路,109,114.0505753,22.5166702
110,109.000000000000000,福田四号路,皇岗路,110,114.0575638,22.5161800
111,110.000000000000000,红荔路,海田路,111,114.0602188,22.5514011
112,111.000000000000000,海田路,深南大道,112,114.0604782,22.5428028
113,112.000000000000000,宏威路,北环大道,113,114.0542221,22.5648766
114,113.000000000000000,莲花路(福田),宏威路,114,114.0398178,22.5443993
115,114.000000000000000,新闻路,景田路,115,114.0542831,22.5625019
116,115.000000000000000,莲花路(福田),景田路,116,114.0383453,22.5561047
117,116.000000000000000, 新闻路,景田路,117,114.0398102,22.5444851
118,117.000000000000000,凯丰路,梅观路,118,114.0586548,22.5758953
119,118.000000000000000,凯丰路,北环大道,119,114.0586853,22.5669956
120,119.000000000000000,梅林路,梅村路,120,114.0422745,22.5705242
121,120.000000000000000,中康路,梅华路,121,114.0541458,22.5672131
122,121.000000000000000,梅华路,凯丰路,122,114.0585632,22.5691776
123,122.000000000000000,梅华路,梅村路,123,114.0487442,22.5673389
124,123.000000000000000,梅秀路,梅华路,124,114.0432358,22.5675964
125,124.000000000000000,梅华路,新洲路,125,114.0389328,22.5658665
126,125.000000000000000,梅林路,彩田路,126,114.0616837,22.5711403
127,126.000000000000000,梅林路,皇岗路,127,114.0674438,22.5712643
128,127.000000000000000,中康路,梅林路,128,114.0540619,22.5711765
129,128.000000000000000,梅秀路,梅林路,129,114.0423660,22.5704823
130,129.000000000000000,梅林路,北环大道,130,114.0327911,22.5625095
131,130.000000000000000,梅山路,梅山街,131,114.0271530,22.5685692
132,131.000000000000000,梅山街,梅林路,132,114.0331955,22.5665684
133,132.000000000000000,梅秀路,北环大道,133,114.0441360,22.5649281
134,133.000000000000000,梅坳五路,梅坳二路,134,114.0523453,22.5796242
135,134.000000000000000,中康路,梅坳二路,135,114.0539169,22.5763626
136,135.000000000000000,民田路,深南大道,136,114.0477905,22.5424061
137,136.000000000000000,民田路,滨河大道,137,114.0479431,22.5314808
138,137.000000000000000,华强南路,南园路,138,114.0841751,22.5406685
139,138.000000000000000,南园路,上步南路,139,114.0912247,22.5415459
140,139.000000000000000,农林路,深南大道,140,114.0138702,22.5380554
141,140.000000000000000,泰然九路,深南大道,141,114.0188522,22.5387115
142,141.000000000000000,泰然九路,滨河大道,142,114.0201797,22.5321369
143,142.000000000000000,香梅路,下梅林一街,143,114.0245361,22.5625553
144,143.000000000000000,下梅林一街,梅林路,144,114.0329056,22.5645275
145,144.000000000000000,莲花路(福田),香梅路,145,114.0334015,22.5534363
146,145.000000000000000,雨田路,北环大道,146,114.0488358,22.5648651
147,146.000000000000000,莲花路(福田),雨田路,147,114.0498962,22.5619717
148,147.000000000000000,华强北路,振华路,148,114.0815811,22.5471001
149,148.000000000000000,振华路,上步中路,149,114.0911407,22.5472965
150,149.000000000000000,振华西路,皇岗路,150,114.0679550,22.5477295
151,150.000000000000000,振华西路,华富路,151,114.0762100,22.5470257
152,151.000000000000000,红荔路,华强北路,152,114.0839996,22.5516129
153,152.000000000000000,华强北路,笋岗西路,153,114.0815277,22.5580711
154,153.000000000000000,华强南路,深南中路,154,114.0815582,22.5432701
155,154.000000000000000,红岭中路,红荔路,155,114.0993423,22.5519199
156,155.000000000000000,金田路(福田),红荔路,156,114.0578613,22.5513172
157,156.000000000000000,金田路(福田),福民路(福田),157,114.0596924,22.5259571
158,157.000000000000000,福中路(福田),彩田路,158,114.0627899,22.5475693
159,158.000000000000000,福中路(福田),皇岗路,159,114.0678406,22.5476704
160,159.000000000000000,金田路(福田),福中路(福田),160,114.0579071,22.5474663
161,160.000000000000000,福中路(福田),益田路,161,114.0510864,22.5473461
162,161.000000000000000,福中路(福田),新洲路,162,114.0443192,22.5472794
163,162.000000000000000,莲花路(福田),彩田路,163,114.0625458,22.5581913
164,163.000000000000000,福华一路,益田路,164,114.0512390,22.5395451
165,164.000000000000000,福华一路,金田路(福田),165,114.0580521,22.5396175
166,165.000000000000000,福华一路,民田路,166,114.0478439,22.5394287
167,166.000000000000000,福华一路,新洲路,167,114.0444870,22.5393963
168,167.000000000000000,福田收费站,广深高速公路,168,114.0103836,22.5391655
169,168.000000000000000,皇岗收费站,广深高速公路,169,114.0615540,22.5189190
170,169.000000000000000,南坪收费站,广深高速公路,170,113.9874878,22.5490856
